"name","url","views"
"Alberta FOI Request Data 1995-2009","https://opendata.socrata.com/dataset/Alberta-FOI-Request-Data-1995-2009/fhku-mij6","8,813"
"Energy Efficiency Funding Map","https://opendata.socrata.com/dataset/Energy-Efficiency-Funding-Map/efic-22fx","8,876"
"Airsoft Review Database - AEGs","https://opendata.socrata.com/Fun/Airsoft-Review-Database-AEGs/qhsr-j3c5","9,968"
"Tax Ideas Submitted by the Public","https://opendata.socrata.com/Government/Tax-Ideas-Submitted-by-the-Public/rtpw-2rrr","7,520"
"Alberta Government Food and Beverage Costs 2009/10","https://opendata.socrata.com/dataset/Alberta-Government-Food-and-Beverage-Costs-2009-10/3cqr-g2c7","8,313"
"NT Greek Principal Parts","https://opendata.socrata.com/Education/NT-Greek-Principal-Parts/aes3-kctc","9,806"
"Timeline of Governors by Political Affiliation, 1970-2012","https://opendata.socrata.com/Government/Timeline-of-Governors-by-Political-Affiliation-197/hmak-vpvn","7,711"
"Santa Fe Non-profits","https://opendata.socrata.com/dataset/Santa-Fe-Non-profits/c7gh-83ff","15,220"
"Honolulu: Drinking Water RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Honolulu-Drinking-Water-RadNet-Laboratory-Analysis/v3jf-ks99","11,721"
"Santa Fe Contributors","https://opendata.socrata.com/dataset/Santa-Fe-Contributors/f92i-ik66","15,107"
"The Planes","https://opendata.socrata.com/dataset/The-Planes/6v2k-v9qc","15,092"
"Contributors to NM Gov. Bill Richardson","https://opendata.socrata.com/Government/Contributors-to-NM-Gov-Bill-Richardson/vupa-fvqs","14,906"
"Interagency Ocean Policy Taskforce Comments","https://opendata.socrata.com/Government/Interagency-Ocean-Policy-Taskforce-Comments/4w5y-5cfm","10,309"
"Ning Directory - Social Networks (June 20, 2009)","https://opendata.socrata.com/dataset/Ning-Directory-Social-Networks-June-20-2009-/63av-5udk","8,473"
"Top 25 Santa Fe County Properties","https://opendata.socrata.com/Government/Top-25-Santa-Fe-County-Properties/izus-a4n2","14,993"
"FGCU salary dataset","https://opendata.socrata.com/dataset/FGCU-salary-dataset/fjqw-ymup","11,451"
"Social Networks For Women","https://opendata.socrata.com/dataset/Social-Networks-For-Women/6wph-rent","9,892"
"Portland: Precipitation RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Portland-Precipitation-RadNet-Laboratory-Analysis/jn52-mf7j","12,446"
"Portland: Milk RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Portland-Milk-RadNet-Laboratory-Analysis/b4ne-pkp8","12,448"
"Country List ISO 3166 Codes Latitude Longitude","https://opendata.socrata.com/dataset/Country-List-ISO-3166-Codes-Latitude-Longitude/mnkm-8ram","16,675"
"Portland: Drinking Water RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Portland-Drinking-Water-RadNet-Laboratory-Analysis/85pj-7x27","12,385"
"OCCC Faculty & Staff","https://opendata.socrata.com/Education/OCCC-Faculty-Staff/7trt-aanw","12,652"
"Mayor","https://opendata.socrata.com/dataset/Mayor/2p3t-v32s","11,222"
"Alcohol Consumption Per Country","https://opendata.socrata.com/Government/Alcohol-Consumption-Per-Country/hj43-2bpj","11,838"
"E-Liquid Cost-per-ml","https://opendata.socrata.com/Fun/E-Liquid-Cost-per-ml/j8gz-u2t8","10,303"
"Renewable Energy Map","https://opendata.socrata.com/dataset/Renewable-Energy-Map/a6zs-d566","11,385"
"Honolulu: Air Filter & Cartridge RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Honolulu-Air-Filter-Cartridge-RadNet-Laboratory-An/kaax-vbup","11,741"
"TWE finance Sept. 9, 2010","https://opendata.socrata.com/dataset/TWE-finance-Sept-9-2010/gbjv-bew8","16,550"
"Franchise Failureby Brand2011","https://opendata.socrata.com/Business/Franchise-Failureby-Brand2011/5qh7-7usu","29,715"
"Seattle: Air Filter & Cartridge RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Seattle-Air-Filter-Cartridge-RadNet-Laboratory-Ana/x2x4-a78a","14,363"
"Seattle Tech Companies Map","https://opendata.socrata.com/Business/Seattle-Tech-Companies-Map/tz9i-ie4t","13,435"
"City Of Trenton - 2011 Certified Tax List","https://opendata.socrata.com/Government/City-Of-Trenton-2011-Certified-Tax-List/ewuw-qyqp","13,164"
"Rep","https://opendata.socrata.com/dataset/Rep/qsig-ckg9","14,270"
"City Of Trenton - 2012 Certified Tax List","https://opendata.socrata.com/dataset/City-Of-Trenton-2012-Certified-Tax-List/mxtj-vhhx","21,373"
"Anaheim: Air Filter & Cartridge RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Anaheim-Air-Filter-Cartridge-RadNet-Laboratory-Ana/kf7b-j8wk","12,299"
"2013 Salaries: Pennsylvania State System of Higher Education","https://opendata.socrata.com/Education/2013-Salaries-Pennsylvania-State-System-of-Higher-/26jq-uk2i","48,876"
"Troops In Afghanistan By Country Piechart","https://opendata.socrata.com/dataset/Troops-In-Afghanistan-By-Country-Piechart/9xbs-saqi","11,849"
"Los Angeles: Drinking Water RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Los-Angeles-Drinking-Water-RadNet-Laboratory-Analy/x2yf-hftq","20,153"
"Los Angeles: Milk RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Los-Angeles-Milk-RadNet-Laboratory-Analysis/8fw5-fnzk","20,038"
"San Francisco: Air Filter & Cartridge RadNet Laboratory Analysis","https://opendata.socrata.com/Government/San-Francisco-Air-Filter-Cartridge-RadNet-Laborato/vew3-webj","18,918"
"Social Media and Law Enforcement: Who Gets What Info and When?","https://opendata.socrata.com/Government/Social-Media-and-Law-Enforcement-Who-Gets-What-Inf/2q2w-fhk6","21,822"
"Seattle: Drinking Water RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Seattle-Drinking-Water-RadNet-Laboratory-Analysis/g8ab-jk7t","16,076"
"Lista de Guarderías Subrogadas por el IMSS","https://opendata.socrata.com/Government/Lista-de-Guarder-as-Subrogadas-por-el-IMSS/v67s-yiqx","19,572"
"Mapa de los Proyectos de Inversión Pública en Ejecución","https://opendata.socrata.com/Government/Mapa-de-los-Proyectos-de-Inversi-n-P-blica-en-Ejec/p62z-4uvz","14,119"
"World's Largest Cathedrals","https://opendata.socrata.com/dataset/World-s-Largest-Cathedrals/sfaz-u3mt","13,925"
"SBA Loan failure rate for franchisees in a franchise brand","https://opendata.socrata.com/Banking-Finance-and-Insurance/SBA-Loan-failure-rate-for-franchisees-in-a-franchi/yiht-4fbq","16,955"
"Criterions on Netflix","https://opendata.socrata.com/Fun/Criterions-on-Netflix/sfnr-xcnq","13,554"
"Mapa Proyectos de Inversión Pública - Plan de Acción 2012","https://opendata.socrata.com/Government/Mapa-Proyectos-de-Inversi-n-P-blica-Plan-de-Acci-n/6g9w-84gs","76,614"
"Mapa Proyectos de Inversión Pública - Plan de Acción 2011","https://opendata.socrata.com/Government/Mapa-Proyectos-de-Inversi-n-P-blica-Plan-de-Acci-n/imng-7jze","75,712"
"2009 Report to Congress on White House Staff","https://opendata.socrata.com/Government/2009-Report-to-Congress-on-White-House-Staff/pc5g-zfsx","70,242"
"FISTEMATICA 2.0","https://opendata.socrata.com/Education/FISTEMATICA-2-0/3yqq-6ret","92,822"
"Top 1,000 Songs To Hear Before You Die","https://opendata.socrata.com/Fun/Top-1-000-Songs-To-Hear-Before-You-Die/ed74-c6ni","48,341"
"Unclaimed bank accounts","https://opendata.socrata.com/Government/Unclaimed-bank-accounts/n2rk-fwkj","41,286"
"Premium Tips View","https://opendata.socrata.com/Education/Premium-Tips-View/8r3i-v3rc","30,634"
"Search The Groups That Have Lost Their Tax-Exempt Status","https://opendata.socrata.com/Government/Search-The-Groups-That-Have-Lost-Their-Tax-Exempt-/j5va-k6fu","28,836"
"ReverseWineSnob.com Wine Ranking","https://opendata.socrata.com/dataset/ReverseWineSnob-com-Wine-Ranking/cv7f-squi","34,035"
"Senator Golden","https://opendata.socrata.com/dataset/Senator-Golden/n3yk-vzcn","20,216"
"FY 2013 DHS Expenditures by Object Class Name","https://opendata.socrata.com/Government/FY-2013-DHS-Expenditures-by-Object-Class-Name/74vr-irb4","7"
"TRAINING PARTICIPANTS","https://opendata.socrata.com/Education/TRAINING-PARTICIPANTS/ggd9-hnun","3"
"State View - Indiana Government Office Locations","https://opendata.socrata.com/Government/State-View-Indiana-Government-Office-Locations/vfjf-uffw","11"
"Gov. Rick Perry's 2013 vetoes: a searchable database of internal communication","https://opendata.socrata.com/Government/Gov-Rick-Perry-s-2013-vetoes-a-searchable-database/3uyi-yibw","21"
"Battery","https://opendata.socrata.com/dataset/Battery/8ipj-2rz2","43"
"FY 2013 DNR Expenditures by Object Class Name","https://opendata.socrata.com/Government/FY-2013-DNR-Expenditures-by-Object-Class-Name/it47-9bpa","8"
"Air13 - Point Map","https://opendata.socrata.com/dataset/Air13-Point-Map/k69w-kp36","1 view"
"Value Correlated to Crime By Block for Dallas","https://opendata.socrata.com/Business/Value-Correlated-to-Crime-By-Block-for-Dallas/vmij-c752","9"
"MILocal Government Unit Codes","https://opendata.socrata.com/Government/MILocal-Government-Unit-Codes/bdfh-ta5s","8"
"World Effective Natural Remedies for Vitiligo","https://opendata.socrata.com/dataset/World-Effective-Natural-Remedies-for-Vitiligo/j4ze-cg54","23"
"State of Indiana Government Office Locations","https://opendata.socrata.com/Government/State-of-Indiana-Government-Office-Locations/6qzn-7cnz","16"
"Outpatient Drug and Alcohol Treatment","https://opendata.socrata.com/dataset/Outpatient-Drug-and-Alcohol-Treatment/3jye-jx7d","6"
"Vinyl Banner Printing in Calgary","https://opendata.socrata.com/Business/Vinyl-Banner-Printing-in-Calgary/ac5u-kdz4","5"
"1","https://opendata.socrata.com/Education/1/mxnz-a8au","1 view"
"Media Malaysia, Social Media Marketing in Malaysia, Facebook Marketing Malaysia","https://opendata.socrata.com/Business/Media-Malaysia-Social-Media-Marketing-in-Malaysia-/76hj-ey28","19"
"Country","https://opendata.socrata.com/dataset/Country/iiah-jax9","24"
"Country Codes","https://opendata.socrata.com/dataset/Country-Codes/skqe-gqxy","2"
"What Is Lichen Planus And How Is Treated?","https://opendata.socrata.com/Business/What-Is-Lichen-Planus-And-How-Is-Treated-/j383-p6cn","2"
"USA Starbucks","https://opendata.socrata.com/Business/USA-Starbucks/ba8t-2nm6","59"
"state map","https://opendata.socrata.com/Business/state-map/khw5-ywuu","283"
"Tampa Region","https://opendata.socrata.com/Business/Tampa-Region/9zai-kn6z","14"
"closeupNoblesvilleStateAgencies","https://opendata.socrata.com/Government/closeupNoblesvilleStateAgencies/kgqe-wwjm","24"
"Mahasiswa","https://opendata.socrata.com/dataset/Mahasiswa/37w7-i2gc","3"
"Air13","https://opendata.socrata.com/dataset/Air13/8pi7-ymra","14"
"Calendar of Alaska Wilderness Fatalities","https://opendata.socrata.com/dataset/Calendar-of-Alaska-Wilderness-Fatalities/bq9f-b2b4","32"
"DRINKWATER13- Import","https://opendata.socrata.com/dataset/DRINKWATER13-Import/8yfx-8h6x","2"
"Berkeley and SF Starbucks","https://opendata.socrata.com/Business/Berkeley-and-SF-Starbucks/kyq6-8hhm","386"
"Berkeley Starbucks","https://opendata.socrata.com/Business/Berkeley-Starbucks/c9fc-2mwi","397"
"RG Starbucks","https://opendata.socrata.com/Business/RG-Starbucks/6z6j-x52t","192"
"Amit_Starbucks","https://opendata.socrata.com/Business/Amit_Starbucks/t2sg-72qf","18"
"9tan-erpm","https://opendata.socrata.com/dataset/9tan-erpm/vz7f-yvek","5"
"Martin","https://opendata.socrata.com/dataset/Martin/a585-bafh","2"
"Air13 - Map","https://opendata.socrata.com/dataset/Air13-Map/t8fp-yszt","8"
"DrinkWater Map","https://opendata.socrata.com/dataset/DrinkWater-Map/q8wc-be2n","1 view"
"BEST 002 Tenant","https://opendata.socrata.com/Personal/BEST-002-Tenant/qfen-jsvj","3"
"Map Mashup","https://opendata.socrata.com/Government/Map-Mashup/ab9u-nqm8","4"
"Socrata Customer Spotlights","https://opendata.socrata.com/dataset/Socrata-Customer-Spotlights/esb9-fhuu","0"
"Female to Male Rate Spread by State","https://opendata.socrata.com/dataset/Female-to-Male-Rate-Spread-by-State/rwnj-42d8","10"
"What Is Lichen Planus?","https://opendata.socrata.com/Business/What-Is-Lichen-Planus-/gr45-n2eu","2"
"Open Data Day 2014 Events","https://opendata.socrata.com/Government/Open-Data-Day-2014-Events/9vrg-4z8u","6"
"2010 Burt Lerner National Elementary (K-6) Chess Championship","https://opendata.socrata.com/Personal/2010-Burt-Lerner-National-Elementary-K-6-Chess-Cha/ie4j-sd5v","4,642"
"Payment Type, MBTA Subway Lines, September 8, 2009","https://opendata.socrata.com/Education/Payment-Type-MBTA-Subway-Lines-September-8-2009/yd8g-q8zb","4,706"
"Riverside: Air Filter & Cartridge RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Riverside-Air-Filter-Cartridge-RadNet-Laboratory-A/ufda-eyf8","4,664"
"NEPA Public Comments","https://opendata.socrata.com/dataset/NEPA-Public-Comments/6peu-b86u","5,192"
"How to Volunteer at a Soup Kitchen","https://opendata.socrata.com/Personal/How-to-Volunteer-at-a-Soup-Kitchen/fw6u-sgth","4,528"
"YouTube most viewed ANIMAL videos","https://opendata.socrata.com/dataset/YouTube-most-viewed-ANIMAL-videos/ck3r-eyyf","4,425"
"Payment Type, MBTA Bus Routes, September 8, 2009","https://opendata.socrata.com/Education/Payment-Type-MBTA-Bus-Routes-September-8-2009/hswa-3ybf","4,579"
"Title I Grants to School Districts -- All States","https://opendata.socrata.com/Government/Title-I-Grants-to-School-Districts-All-States/xean-ic26","4,347"
"Playdatabase's Most Popular Plays","https://opendata.socrata.com/dataset/Playdatabase-s-Most-Popular-Plays/qbhz-8u2d","4,412"
"Oahu: Air Filter & Cartridge RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Oahu-Air-Filter-Cartridge-RadNet-Laboratory-Analys/83cu-i4nz","4,662"
"Phoenix: Milk RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Phoenix-Milk-RadNet-Laboratory-Analysis/6ep2-ky6t","5,270"
"2008 BOLD Survey of Puget Sound Levels for PCB Congeners","https://opendata.socrata.com/dataset/2008-BOLD-Survey-of-Puget-Sound-Levels-for-PCB-Con/ewv9-5b9a","6,032"
"USPS Proposed Station Closures","https://opendata.socrata.com/Government/USPS-Proposed-Station-Closures/yttn-5rye","4,876"
"American Rhetoric's Top 100 Speeches of the 20th Century","https://opendata.socrata.com/dataset/American-Rhetoric-s-Top-100-Speeches-of-the-20th-C/2wqi-bkqm","4,656"
"Inventory Dataset","https://opendata.socrata.com/Business/Inventory-Dataset/ip7p-fhg8","3,931"
"Idaho Falls: Drinking Water RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Idaho-Falls-Drinking-Water-RadNet-Laboratory-Analy/57y4-byrf","5,196"
"Percentage of Population Below the Poverty Line","https://opendata.socrata.com/Government/Percentage-of-Population-Below-the-Poverty-Line/5u5p-8sij","3,596"
"Boise: Precipitation RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Boise-Precipitation-RadNet-Laboratory-Analysis/bwa2-sq6w","4,876"
"Boise: Air Filter & Cartridge RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Boise-Air-Filter-Cartridge-RadNet-Laboratory-Analy/pbed-jkgc","4,873"
"Mapa de los Proyectos de Inversión Pública 2012 en Ejecución","https://opendata.socrata.com/Government/Mapa-de-los-Proyectos-de-Inversi-n-P-blica-2012-en/uwgq-ckdm","4,844"
"House Disbursements Detail 2009 Q3","https://opendata.socrata.com/Government/House-Disbursements-Detail-2009-Q3/s27v-9zjj","6,039"
"Resources","https://opendata.socrata.com/Business/Resources/a8nm-7ny3","5,402"
"Freshman","https://opendata.socrata.com/Government/Freshman/u7xw-x9v3","5,292"
"Proyectos de Inversión Pública 2012","https://opendata.socrata.com/Government/Proyectos-de-Inversi-n-P-blica-2012/fzt7-q42i","5,132"
"CaddoLanguage","https://opendata.socrata.com/Education/CaddoLanguage/kerq-ib5s","8,954"
"CDC Suspected Swine Flu Cases Map","https://opendata.socrata.com/Government/CDC-Suspected-Swine-Flu-Cases-Map/8uw8-rtje","4,829"
"Denver: Precipitation RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Denver-Precipitation-RadNet-Laboratory-Analysis/saj3-ri8t","5,334"
"AKC's Top 50 Dog Breeds","https://opendata.socrata.com/dataset/AKC-s-Top-50-Dog-Breeds/2es9-pgpu","4,947"
"FAA National Wildlife Aircraft Strike Database (Year 2000 and after)","https://opendata.socrata.com/Government/FAA-National-Wildlife-Aircraft-Strike-Database-Yea/9r8b-gr46","2,533"
"Phoenix: Air Filter & Cartridge RadNet Laboratory Analysis","https://opendata.socrata.com/Government/Phoenix-Air-Filter-Cartridge-RadNet-Laboratory-Ana/ebii-7yie","5,295"
"Pomoc za lecenje","https://opendata.socrata.com/dataset/Pomoc-za-lecenje/4pse-n3qk","27"
"五月新人派包","https://opendata.socrata.com/dataset/-/va5x-ea2v","2"
"BBYO International Award Recipients - Chapter Awards","https://opendata.socrata.com/Education/BBYO-International-Award-Recipients-Chapter-Awards/id8n-ia48","47"
"2014 BBYO International Awards - Chapter","https://opendata.socrata.com/Education/2014-BBYO-International-Awards-Chapter/9rmk-8wx2","19"
"BBYO International Award Recipients - Individual Awards","https://opendata.socrata.com/Education/BBYO-International-Award-Recipients-Individual-Awa/h97c-kmat","56"
"2014 BBYO International Awards - Chapter Form","https://opendata.socrata.com/Education/2014-BBYO-International-Awards-Chapter-Form/jzk7-qbcg","4"
"Airport Codes mapped to Latitude/Longitude in the United States","https://opendata.socrata.com/dataset/Airport-Codes-mapped-to-Latitude-Longitude-in-the-/rxrh-4cxm","8,508"
"Internal Individual Awards - Embedd View","https://opendata.socrata.com/Education/Internal-Individual-Awards-Embedd-View/6vyt-cxsh","66"
"Base De Datos Oferta Formativa Universidades","https://opendata.socrata.com/Education/Base-De-Datos-Oferta-Formativa-Universidades/5ib6-ewbq","6,814"
"2014 BBYO International Awards - Individual","https://opendata.socrata.com/Education/2014-BBYO-International-Awards-Individual/ptsn-mj2y","22"
"NT2010","https://opendata.socrata.com/Education/NT2010/99my-kzwp","2,977"
"Individual Awards Database Submission","https://opendata.socrata.com/Education/Individual-Awards-Database-Submission/pawy-re9f","4"
"Comments on the Interim Report of the Interagency Ocean Policy Task Force","https://opendata.socrata.com/Government/Comments-on-the-Interim-Report-of-the-Interagency-/9dn9-umy8","5,680"
"low caffeine coffee","https://opendata.socrata.com/Business/low-caffeine-coffee/i4hs-byxz","9"
"VA 2010 Census Population By Race","https://opendata.socrata.com/dataset/VA-2010-Census-Population-By-Race/pnj7-fdqg","6,068"
"UmWeichselbrunn","https://opendata.socrata.com/Fun/UmWeichselbrunn/ai5f-3azp","8,184"
"Inventory Main Public","https://opendata.socrata.com/Business/Inventory-Main-Public/jtne-3nhu","5,875"
"SBL Abbreviations","https://opendata.socrata.com/Education/SBL-Abbreviations/bpbv-52wq","6,581"
"Smart Grid Funding Map","https://opendata.socrata.com/dataset/Smart-Grid-Funding-Map/yefd-dygx","5,672"
"2010 Grade National Chess Tournament, Orlando FL","https://opendata.socrata.com/Personal/2010-Grade-National-Chess-Tournament-Orlando-FL/zsvu-nc8w","6,004"
"Point Map for ISRO Nearshore Fish Records","https://opendata.socrata.com/Government/Point-Map-for-ISRO-Nearshore-Fish-Records/vkn9-wrg9","3"
"Vinyl Banner Printing in Calgary","https://opendata.socrata.com/Business/Vinyl-Banner-Printing-in-Calgary/r344-wr6v","4"
"Thai Tea Service","https://opendata.socrata.com/Business/Thai-Tea-Service/i3z7-w3mp","7"
"Point map of population","https://opendata.socrata.com/Government/Point-map-of-population/47h7-k6fi","20"
"US TOP PPH EPICENTERS","https://opendata.socrata.com/dataset/US-TOP-PPH-EPICENTERS/5pq6-37u7","1,110"
"NefTest1","https://opendata.socrata.com/dataset/NefTest1/nhba-6vej","5"
"Mass. Department of Environmental Protection Tier 1A Sites","https://opendata.socrata.com/Government/Mass-Department-of-Environmental-Protection-Tier-1/4ad5-txqy","2"
"Starbucks - Colorado Heat Map","https://opendata.socrata.com/Business/Starbucks-Colorado-Heat-Map/j5mz-4igd","9"
"albuquerque area","https://opendata.socrata.com/Business/albuquerque-area/bh7g-n9sn","255"
"US Starbucks","https://opendata.socrata.com/Business/US-Starbucks/sq4u-9ryf","6"
"Number of Starbucks Locations by US State","https://opendata.socrata.com/Business/Number-of-Starbucks-Locations-by-US-State/6qr7-2v3n","42"
"Starbucks In Chicago","https://opendata.socrata.com/Business/Starbucks-In-Chicago/eypf-9y8d","19"
"Starbucks_Toronto","https://opendata.socrata.com/Business/Starbucks_Toronto/a4mi-qdfy","6"
"Active (issued)","https://opendata.socrata.com/Government/Active-issued-/pnxi-qees","4"
"Anggota KMHD","https://opendata.socrata.com/Personal/Anggota-KMHD/aw4y-pbxm","25"
"Massage in Burlington","https://opendata.socrata.com/Business/Massage-in-Burlington/3pj4-y54w","2"
"BORANG DAFTAR PEMILIH BARU","https://opendata.socrata.com/Personal/BORANG-DAFTAR-PEMILIH-BARU/8q7x-dvqk","8"
"StarbucksPortland","https://opendata.socrata.com/Business/StarbucksPortland/qrdq-rumt","4"
"PCI90 Nocutpoint","https://opendata.socrata.com/Education/PCI90-Nocutpoint/wv4u-2h8k","5"
"quick car parking orlando florida","https://opendata.socrata.com/dataset/quick-car-parking-orlando-florida/n4ss-sirb","1 view"
"Actinic Keratosis Natural Remedy","https://opendata.socrata.com/Business/Actinic-Keratosis-Natural-Remedy/day6-za5v","2"
"【教育部】 第十七期新人任务终结","https://opendata.socrata.com/dataset/-/8bha-3ucz","5"
"Colorado Starbucks","https://opendata.socrata.com/Business/Colorado-Starbucks/9uhv-n6s6","8"
"Oracle 1Z0-051 Exam","https://opendata.socrata.com/Education/Oracle-1Z0-051-Exam/9jbc-k9dh","543"
"Payroll Report - End Date 1/29/2014","https://opendata.socrata.com/Government/Payroll-Report-End-Date-1-29-2014/c5bu-gbeg","444"
"Number of Starbucks Locations by Country","https://opendata.socrata.com/Business/Number-of-Starbucks-Locations-by-Country/5kwf-2yke","42"
"My Starbucks","https://opendata.socrata.com/Business/My-Starbucks/f7v8-pc4f","11"
"SB_USA","https://opendata.socrata.com/Business/SB_USA/7naj-hqth","22"
"starbucks simplified","https://opendata.socrata.com/Business/starbucks-simplified/v8gy-ftju","1 view"
"All Starbucks Locations in the World - Point Map","https://opendata.socrata.com/Business/All-Starbucks-Locations-in-the-World-Point-Map/7sg8-44ed","665"
"Top 15 Hispanic Dolls (Ranked in Order)","https://opendata.socrata.com/dataset/Top-15-Hispanic-Dolls-Ranked-in-Order-/586s-2zps","3,346"
"Newspapers/Wires Covering Federal Agencies","https://opendata.socrata.com/Education/Newspapers-Wires-Covering-Federal-Agencies/8zkb-rm5a","3,703"
"Capital Purchase Program Transactions","https://opendata.socrata.com/Government/Capital-Purchase-Program-Transactions/vfi8-m34e","3,054"
"Analytical Anarchism Literature","https://opendata.socrata.com/Education/Analytical-Anarchism-Literature/bggg-qpgz","3,652"
